product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,color_name,Fit,size_number,size_model,cotton,polyester,elastane,elasterell
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,light_denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,denim_blue,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,light_denim_blue,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,black_washed_out,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,white,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,black_washed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,dark_denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,black_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,dark_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,dark_blue_washed_out,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,black,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,denim_gray,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,light_denim_gray_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449051,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,51,gray,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
938875007,men_jeans_slim,slim_tapered_jeans,39.99,2021-10-08 11:55:50,938875,7,light_denim_blue,slim_fit,188,31/32,0.99,0.0,0.01,0.0
938875007,men_jeans_slim,slim_tapered_jeans,39.99,2021-10-08 11:55:50,938875,7,white,slim_fit,188,31/32,0.99,0.0,0.01,0.0
938875007,men_jeans_slim,slim_tapered_jeans,39.99,2021-10-08 11:55:50,938875,7,dark_gray,slim_fit,188,31/32,0.99,0.0,0.01,0.0
938875007,men_jeans_slim,slim_tapered_jeans,39.99,2021-10-08 11:55:50,938875,7,denim_blue,slim_fit,188,31/32,0.99,0.0,0.01,0.0
1004476004,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,4,black_no_fade_black,slim_fit,,,0.9,0.0,0.02,0.08
1004476004,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,4,light_denim_blue,slim_fit,182,31/32,0.9,0.0,0.02,0.08
1004476004,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,4,dark_denim_blue,slim_fit,182,31/32,0.9,0.0,0.02,0.08
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,black_washed_out,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,graphite_gray,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,light_denim_blue,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,black,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,cream,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,denim_blue,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,light_blue,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,dark_denim_blue,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,pale_denim_blue,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,blue,regular_fit,185,31/32,0.99,0.0,0.01,0.0
811993028,men_jeans_regular,regular_jeans,29.99,2021-10-08 11:55:50,811993,28,dark_blue,regular_fit,185,31/32,0.99,0.0,0.01,0.0
1013317004,men_jeans_regular,hybrid_regular_tapered_joggers,39.99,2021-10-08 11:55:50,1013317,4,light_denim_blue,regular_fit,,,0.78,0.21,0.01,0.0
1013317004,men_jeans_regular,hybrid_regular_tapered_joggers,39.99,2021-10-08 11:55:50,1013317,4,denim_blue,regular_fit,,,0.78,0.21,0.01,0.0
974202002,men_jeans_loose,regular_denim_joggers,29.99,2021-10-08 11:55:50,974202,2,light_denim_blue,regular_fit,,,1.0,0.0,0.0,0.0
974202002,men_jeans_loose,regular_denim_joggers,29.99,2021-10-08 11:55:50,974202,2,black,regular_fit,,,1.0,0.0,0.0,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,light_denim_blue,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,denim_blue,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,black_washed_out,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,dark_blue_denim,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,dark_gray,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,light_gray,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,dark_denim_blue,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,black_denim,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,light_blue,slim_fit,,,0.98,0.0,0.02,0.0
751994018,men_jeans_slim,slim_jeans,29.99,2021-10-08 11:55:50,751994,18,dark_blue,slim_fit,,,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,light_denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,denim_blue,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,light_denim_blue,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,black_washed_out,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,white,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,black_washed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,dark_denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,black_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,dark_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,dark_blue_washed_out,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,black,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,denim_gray,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,light_denim_gray_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,22,gray,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,light_denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,denim_blue,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,light_denim_blue,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,black_washed_out,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,white,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,black_washed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,dark_denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,black_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,dark_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,dark_blue_washed_out,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,denim_blue_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,black,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,denim_gray,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,light_denim_gray_trashed,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
690449043,men_jeans_ripped,skinny_jeans,39.99,2021-10-08 11:55:50,690449,43,gray,skinny_fit,187,32/32,0.98,0.0,0.02,0.0
1004476002,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,2,black_no_fade_black,slim_fit,,,0.9,0.0,0.02,0.08
1004476002,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,2,light_denim_blue,slim_fit,182,31/32,0.9,0.0,0.02,0.08
1004476002,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,2,dark_denim_blue,slim_fit,182,31/32,0.9,0.0,0.02,0.08
1004199002,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-10-08 11:55:50,1004199,2,light_denim_blue,skinny_fit,187,,0.99,0.0,0.01,0.0
1004199002,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-10-08 11:55:50,1004199,2,black,skinny_fit,,,0.99,0.0,0.01,0.0
1004199002,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-10-08 11:55:50,1004199,2,denim_blue,skinny_fit,,,0.99,0.0,0.01,0.0
814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,814631,6,light_denim_blue,slim_fit,,,0.9,0.0,0.02,0.08
814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,814631,6,dark_gray,slim_fit,,,0.9,0.0,0.02,0.08
814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,814631,6,pale_denim_blue,slim_fit,,,0.9,0.0,0.02,0.08
814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,814631,6,light_gray,slim_fit,,,0.9,0.0,0.02,0.08
814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,814631,6,dark_blue,slim_fit,,,0.9,0.0,0.02,0.08
814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,814631,6,white,slim_fit,,,0.9,0.0,0.02,0.08
814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,814631,6,gray,slim_fit,,,0.9,0.0,0.02,0.08
814631006,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,814631,6,dark_denim_blue,slim_fit,,,0.9,0.0,0.02,0.08
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,black_denim,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,blue_washed_out,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,dark_denim_blue,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,black_washed_out,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,denim_blue,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,white_denim,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,light_blue_washed_out,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,super_light_denim_blue,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,black_trashed,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,light_denim_blue,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,denim_blue_bleached,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
427159006,men_jeans_ripped,trashed_skinny_jeans,39.99,2021-10-08 11:55:50,427159,6,black_bleached,skinny_fit,184,31/32,0.93,0.06,0.01,0.0
1004199001,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-10-08 11:55:50,1004199,1,light_denim_blue,skinny_fit,187,,0.99,0.0,0.01,0.0
1004199001,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-10-08 11:55:50,1004199,1,black,skinny_fit,,,0.99,0.0,0.01,0.0
1004199001,men_jeans_skinny,skinny_cropped_jeans,29.99,2021-10-08 11:55:50,1004199,1,denim_blue,skinny_fit,,,0.99,0.0,0.01,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,black,skinny_fit,,,0.9,0.08,0.02,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,dark_denim_blue,skinny_fit,,,0.9,0.08,0.02,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,denim_blue,skinny_fit,,,0.9,0.08,0.02,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,light_denim_blue,skinny_fit,,,0.9,0.08,0.02,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,light_gray,skinny_fit,,,0.9,0.08,0.02,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,midnight_blue,skinny_fit,,,0.9,0.08,0.02,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,dark_gray,skinny_fit,,,0.9,0.08,0.02,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,dark_blue,skinny_fit,,,0.9,0.08,0.02,0.0
720504010,men_jeans_skinny,skinny_jeans,24.99,2021-10-08 11:55:50,720504,10,light_blue,skinny_fit,,,0.9,0.08,0.02,0.0
1004476005,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,5,black_no_fade_black,slim_fit,,,0.9,0.0,0.02,0.08
1004476005,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,5,light_denim_blue,slim_fit,182,31/32,0.9,0.0,0.02,0.08
1004476005,men_jeans_slim,freefit®_slim_jeans,49.99,2021-10-08 11:55:50,1004476,5,dark_denim_blue,slim_fit,182,31/32,0.9,0.0,0.02,0.08
753512001,men_jeans_skinny,skinny_no_fade_black_jeans,29.99,2021-10-08 11:55:50,753512,1,,,,,0.0,0.0,0.0,0.0
